step,loss,voltage_nll,voltage_huber,endpoint_nll,endpoint_huber,kl,q_monotonic,endpoint_monotonic,temporal_smoothness,kl_coefficient,gradient_norm,prior_std,posterior_std,validation_voltage_rmse_v,validation_voltage_crps_v,best_validation_score,best_step,stale_validations,elapsed_seconds,sampling_seconds,cells,cut_cycles,future_counts
2016,-2.2273330688476562,-1.0538721084594727,0.019872479140758514,-2.4131412506103516,0.0002999884891323745,7.137130260467529,0.011309786699712276,0.002016992773860693,0.07513661682605743,0.004032,68.09950256347656,0.5690099000930786,0.37811973690986633,,,0.08399296090651291,2000,0,27.913128904998302,0.0006890851072967052,MATR_b1c23|MATR_b4c13|MATR_b1c45|MATR_b2c43,407|328|336|342,64|64|64|64
2017,-2.0894012451171875,-0.9311971068382263,0.028388110920786858,-2.446836233139038,0.0003090660320594907,14.668169975280762,0.0111222043633461,0.002430542139336467,0.07499588280916214,0.004034,63.53477478027344,0.5738400220870972,0.4012928605079651,,,0.08399296090651291,2000,0,27.925293342676014,0.0007365741766989231,MATR_b4c25|MATR_b2c4|MATR_b2c26|MATR_b4c27,362|258|233|284,64|64|64|64
2018,-2.3266165256500244,-1.0973148345947266,0.02278292179107666,-2.5671396255493164,0.00023842230439186096,12.23764419555664,0.010343336500227451,0.0027851450722664595,0.06990871578454971,0.0040360000000000005,66.06287384033203,0.5806361436843872,0.3713782727718353,,,0.08399296090651291,2000,0,27.937506401911378,0.00082346610724926,MATR_b2c36|MATR_b4c25|MATR_b3c27|MATR_b3c8,380|312|299|444,64|64|64|64
2019,-1.637271523475647,-0.7826858162879944,0.044356148689985275,-1.9627032279968262,0.0006088997470214963,29.047977447509766,0.015610944479703903,0.004450690932571888,0.09386961907148361,0.004038,53.355621337890625,0.6340855360031128,0.5978858470916748,,,0.08399296090651291,2000,0,27.94953523669392,0.0009610932320356369,MATR_b4c31|MATR_b4c4|MATR_b2c10|MATR_b3c10,539|609|387|488,64|64|64|64
2020,-2.2704105377197266,-1.3528032302856445,0.01837051659822464,-1.9285504817962646,0.0003300569369457662,10.55838394165039,0.008768633008003235,0.0021740214433521032,0.06349905580282211,0.00404,71.11767578125,0.5653682947158813,0.3775094449520111,,,0.08399296090651291,2000,0,27.961900288704783,0.0007268758490681648,MATR_b1c36|MATR_b4c20|MATR_b2c13|MATR_b4c20,507|417|345|480,64|64|64|64
2021,-2.2307848930358887,-1.3995046615600586,0.023423386737704277,-1.7508249282836914,0.00044764953781850636,9.665746688842773,0.007805535104125738,0.002020608400925994,0.05659184604883194,0.0040420000000000005,126.13836669921875,0.5392097234725952,0.3990193009376526,,,0.08399296090651291,2000,0,27.974241896998137,0.0007952433079481125,MATR_b4c20|MATR_b1c7|MATR_b2c45|MATR_b3c19,392|628|256|839,64|64|64|64
2022,-1.8908861875534058,-1.0705255270004272,0.029855309054255486,-1.7343266010284424,0.00042541150469332933,10.003620147705078,0.008185517974197865,0.0020878666546195745,0.06135101243853569,0.004044,144.12716674804688,0.633497416973114,0.355040043592453,,,0.08399296090651291,2000,0,27.98638222971931,0.000834065955132246,MATR_b3c28|MATR_b2c29|MATR_b2c5|MATR_b1c39,318|296|367|486,64|64|64|64
2023,-2.1104841232299805,-0.9669982194900513,0.027813080698251724,-2.357337713241577,0.000431771797593683,7.218705654144287,0.010427274741232395,0.0023785573430359364,0.06934694945812225,0.004046,35.34706497192383,0.5516351461410522,0.35068079829216003,,,0.08399296090651291,2000,0,27.99899308057502,0.0009096972644329071,MATR_b4c5|MATR_b4c19|MATR_b1c23|MATR_b1c16,467|357|653|366,64|64|64|64
2024,-2.233722686767578,-1.0583407878875732,0.026021484285593033,-2.4668960571289062,0.00020319064788054675,12.987921714782715,0.009765761904418468,0.0018082746537402272,0.0691835954785347,0.004048,84.52162170410156,0.6331111192703247,0.36612623929977417,,,0.08399296090651291,2000,0,28.012073496822268,0.0009025838226079941,MATR_b2c29|MATR_b4c24|MATR_b2c38|MATR_b2c27,350|752|307|333,64|64|64|64
2025,-2.3367044925689697,-1.2289077043533325,0.01902996376156807,-2.3357067108154297,0.0004032219876535237,13.790226936340332,0.010688235983252525,0.00200766627676785,0.07181581109762192,0.004050000000000001,65.10252380371094,0.5705883502960205,0.3580349087715149,,,0.08399296090651291,2000,0,28.024566848762333,0.0008854512125253677,MATR_b3c10|MATR_b3c22|MATR_b4c33|MATR_b4c30,501|770|266|322,64|64|64|64
