cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,interval_coverage,soh_mae,soh_rmse
MATR_b2c41,316,0.7,0.25,0.32135971818181813,0.9387156363636363,136,0.0026249289512634277,0.6102941176470589,0.02638987057349261,0.03694023943372596
MATR_b2c41,316,0.7,0.5,0.7220618818181818,0.9387156363636363,136,0.0024126172065734863,0.5955882352941176,0.027000149383264428,0.037653706795810774
MATR_b3c1,319,0.3,0.25,0.2969457363636363,0.9611767272727272,743,0.002091348171234131,1.0,0.006071650965858757,0.010268328561062672
MATR_b3c1,319,0.3,0.5,0.6702307181818181,0.9611767272727272,743,0.001976609230041504,1.0,0.006099690258262296,0.010321403829016761
MATR_b3c1,531,0.5,0.25,0.2986093545454545,0.9512024545454544,531,0.0012922883033752441,1.0,0.007238257290504297,0.013456121401090013
MATR_b3c1,531,0.5,0.5,0.6716724454545454,0.9512024545454544,531,0.001302480697631836,1.0,0.007252666685316298,0.013430339703377012
MATR_b3c1,743,0.7,0.25,0.29150244545454546,0.9374661818181818,319,0.0024135708808898926,1.0,0.009630140466002461,0.014810706142354893
MATR_b3c1,743,0.7,0.5,0.6586865909090909,0.9374661818181818,319,0.0024139881134033203,1.0,0.009781473669512519,0.015058903074880715
MATR_b3c14,257,0.3,0.25,0.32682543636363637,0.9739140909090909,600,0.0025154948234558105,1.0,0.003168831765651703,0.006811010910577747
MATR_b3c14,257,0.3,0.5,0.7276732272727272,0.9739140909090909,600,0.0024976134300231934,1.0,0.0031907883286476134,0.006907995913375187
MATR_b3c14,429,0.5,0.25,0.3237781181818182,0.9647070909090909,428,0.0013040900230407715,1.0,0.0029894788967114744,0.003829679478837389
MATR_b3c14,429,0.5,0.5,0.7191706818181818,0.9647070909090909,428,0.0013710856437683105,1.0,0.002737451518807456,0.0033922746721000018
MATR_b3c14,599,0.7,0.25,0.31485955454545456,0.9443935454545455,258,0.001835644245147705,1.0,0.00812416390855183,0.010975767515231159
MATR_b3c14,599,0.7,0.5,0.7105168454545454,0.9443935454545455,258,0.0018661022186279297,1.0,0.007313479979832967,0.009791605631764675
MATR_b3c17,395,0.3,0.25,0.2956044909090909,0.9576537272727271,919,0.00035500526428222656,1.0,0.010985108207955842,0.013621139947554784
MATR_b3c17,395,0.3,0.5,0.6576435090909091,0.9576537272727271,919,0.00024074316024780273,1.0,0.011023570326388985,0.013668143634099541
MATR_b3c17,657,0.5,0.25,0.28739232727272723,0.946869,657,0.001574695110321045,1.0,0.008870510477997941,0.010356786342462888
MATR_b3c17,657,0.5,0.5,0.6493640454545454,0.946869,657,0.0015978813171386719,1.0,0.008944930279091613,0.010403427257950097
MATR_b3c17,919,0.7,0.25,0.2817057727272727,0.9308178181818181,395,0.0032343268394470215,1.0,0.005464253546316413,0.006700220668545668
