horizon_scheme,seed,learning_rate,context_size,horizon,folds_represented,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_rul_mape_percent,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_unique_test_cells
expanded,42,2.5e-05,12,540,5,89.59272188083786,62.81391236555467,-7.250996079634294,21.283919469451995,0.575,132.27471481684503,120,120
expanded,42,2.5e-05,12,560,5,88.22337292952943,61.1005976902302,-10.898242950566548,21.23072107850009,0.5897435897435898,131.2854001972439,117,117
expanded,42,2.5e-05,12,580,5,85.75496270313837,57.858524618248516,-12.863365556118412,24.15245891201127,0.6153846153846154,125.88626072122103,117,117
expanded,42,2.5e-05,12,600,5,85.44228315920637,57.334614008928995,-10.324903244892788,30.880153567502166,0.6260869565217392,128.63868834938776,115,115
expanded,42,2.5e-05,16,60,5,229.02238632241955,141.0495963643913,0.6984371254817265,18.955450612446988,0.8284023668639053,444.1102021304563,169,169
expanded,42,2.5e-05,16,80,5,207.39607271350744,129.55606253582772,7.416984291866523,19.164293081576588,0.7928994082840237,382.0092873319449,169,169
expanded,42,2.5e-05,16,100,5,189.51844392712786,118.12099901431834,9.299133409439817,19.946128825586474,0.7633136094674556,322.63451515296964,169,169
expanded,42,2.5e-05,16,120,5,182.46682410016936,112.39710195500041,3.585793415055652,23.76190336860937,0.7751479289940828,285.31629920338685,169,169
expanded,42,2.5e-05,16,140,5,159.7277067248238,97.50549857723293,-5.210167664404328,51.803843874064434,0.727810650887574,263.3256427614704,169,169
expanded,42,2.5e-05,16,160,5,152.00229589519898,92.0953364367727,-8.242135979505845,13.350952417011852,0.7321428571428571,236.38016856610218,168,168
expanded,42,2.5e-05,16,180,5,140.8398243764874,85.15081361856917,6.372683283175366,13.002528690372461,0.7321428571428571,228.2167634445688,168,168
expanded,42,2.5e-05,16,200,5,123.51815939248085,76.72998158704351,-4.565644329766865,12.147720361139374,0.7023809523809523,204.66492421691987,168,168
expanded,42,2.5e-05,16,220,5,128.35382203930328,80.22568896698883,10.929159287291546,13.262795474423994,0.6964285714285714,208.09310981414325,168,168
expanded,42,2.5e-05,16,240,5,112.1943043574254,71.23819168387656,-8.897601089983493,12.31377988060925,0.7202380952380952,190.57884245647864,168,168
expanded,42,2.5e-05,16,260,5,108.01887772060884,68.10317509234521,-7.393802758335458,12.618453039589541,0.7380952380952381,187.80277834243134,168,168
expanded,42,2.5e-05,16,280,5,105.62136065462443,67.30315231924868,-1.6669767781804539,13.586952460865339,0.7142857142857143,180.44789700709245,168,168
expanded,42,2.5e-05,16,300,5,98.73535813341107,62.94696748416311,-12.369345833941138,13.344037897278904,0.7005988023952096,157.82994949919677,167,167
expanded,42,2.5e-05,16,320,5,96.9000362943231,61.124610503921936,-4.5478145743127065,15.513488051762778,0.7065868263473054,154.28827148698525,167,167
expanded,42,2.5e-05,16,340,5,97.65616438230182,59.42611206187834,-11.028665207705934,12.99654747508702,0.7108433734939759,146.54730773731984,166,166
expanded,42,2.5e-05,16,360,5,95.82954818696498,58.32496256256881,-10.075251541294088,13.742247941240244,0.6987951807228916,140.99075344519662,166,166
expanded,42,2.5e-05,16,380,5,94.94839596361012,56.552359525920835,-8.095151588304665,14.942508911223824,0.6626506024096386,137.47894685245635,166,166
expanded,42,2.5e-05,16,400,5,95.0297296453423,57.260393224738834,-5.769124858974922,17.190362727419082,0.6566265060240963,133.5389482280605,166,166
expanded,42,2.5e-05,16,420,5,93.08292502191529,55.507411918249964,-14.635066725409823,21.87940059028418,0.6265060240963856,125.41417440757851,166,166
expanded,42,2.5e-05,16,440,5,91.49079750690643,54.91142478664027,-9.474645280289419,27.787377414136984,0.6257668711656442,122.9458969650602,163,163
expanded,42,2.5e-05,16,460,5,92.34505292510327,57.01903073959327,-9.382743790097383,34.15379422656363,0.6258064516129033,124.32306187372258,155,155
expanded,42,2.5e-05,16,480,5,95.24131180981827,60.44851432553204,-7.358579092758085,39.392528741295024,0.5972222222222222,125.50322149092621,144,144
expanded,42,2.5e-05,16,500,5,94.70935840882855,61.97046547710974,-10.965837107220747,30.177126511323532,0.5984848484848485,129.73797954571603,132,132
expanded,42,2.5e-05,16,520,5,92.46312307268335,63.656111669688,-2.1109969044166412,27.224413343077625,0.576,132.00224676384985,125,125
expanded,42,2.5e-05,16,540,5,89.13439889326993,62.479086178392464,-6.396705627222678,21.349751170045586,0.5583333333333333,132.0412240793731,120,120
expanded,42,2.5e-05,16,560,5,89.04113894651066,60.93941659143127,-13.471544850309138,20.981859810040362,0.5982905982905983,130.37349219781404,117,117
expanded,42,2.5e-05,16,580,5,84.86298131360634,57.97525496013279,-9.045948158420106,24.377357949501647,0.6239316239316239,126.51309850669563,117,117
