cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,mean_predictive_std,mean_epistemic_std,mean_aleatoric_std,mean_prior_latent_std,interval_width,coverage_50,coverage_80,coverage_90,coverage_95,soh_mae,soh_rmse,soh_nll,soh_crps
MATR_b1c34,371,0.5,0.5,0.7159319818181819,0.9692387272727272,370,0.005076229572296143,0.03113963082432747,0.0012199728516861796,0.031112823635339737,0.13394314050674438,0.12206511944532394,0.8891891891891892,1.0,1.0,1.0,0.009259775361499271,0.014279666682542411,-2.815975335913336,0.008753493680490897
MATR_b1c34,518,0.7,0.25,0.3262722454545454,0.9526112727272725,223,0.004679679870605469,0.026632441207766533,0.0010202005505561829,0.026611125096678734,0.1171429306268692,0.1043972373008728,0.47085201793721976,1.0,1.0,1.0,0.01769398627259806,0.020980515985081653,-2.702571875428418,0.01078497796402756
MATR_b1c34,518,0.7,0.5,0.7267276272727272,0.9526112727272725,223,0.004678308963775635,0.02678879350423813,0.0009657308692112565,0.02676982618868351,0.11714258044958115,0.10501015931367874,0.5426008968609866,1.0,1.0,1.0,0.017381247918167458,0.020596848858834095,-2.7075931426958406,0.01064652934296276
MATR_b1c35,211,0.3,0.25,0.3360997818181818,0.9726135454545455,491,0.004768192768096924,0.03112209029495716,0.0011975080706179142,0.031096968799829483,0.15205945074558258,0.12199635058641434,0.9735234215885947,1.0,1.0,1.0,0.010639718739418293,0.01683417709406217,-2.827682995836062,0.009142435501719701
MATR_b1c35,211,0.3,0.5,0.7476202454545454,0.9726135454545455,491,0.004875063896179199,0.03124644234776497,0.00141299853567034,0.03121146932244301,0.15205898880958557,0.12248380482196808,0.9714867617107943,1.0,1.0,1.0,0.010671169476208036,0.016742393500683073,-2.8239379898535506,0.009169722831201052
MATR_b1c35,351,0.5,0.25,0.3409346909090909,0.9652039999999998,351,0.005524039268493652,0.039319273084402084,0.0011405160184949636,0.0392988845705986,0.12705811858177185,0.15412870049476624,0.98005698005698,1.0,1.0,1.0,0.008389799513368525,0.010266221410316512,-2.664394333056306,0.010297297175619212
MATR_b1c35,351,0.5,0.5,0.7469728818181818,0.9652039999999998,351,0.00551450252532959,0.03965677693486214,0.0012358309468254447,0.039632972329854965,0.12705758213996887,0.15545174479484558,0.9857549857549858,1.0,1.0,1.0,0.00856757911182197,0.010492233343458363,-2.657500591001171,0.010419732855196939
MATR_b1c35,491,0.7,0.25,0.3357475727272727,0.9459465454545454,211,0.004332244396209717,0.03557342290878296,0.001005871337838471,0.035556547343730927,0.10820112377405167,0.1394452601671219,0.9478672985781991,1.0,1.0,1.0,0.008551805787741855,0.008857501921778185,-2.627116638999961,0.009498161683243592
MATR_b1c35,491,0.7,0.5,0.741718409090909,0.9459465454545454,211,0.004462122917175293,0.035601310431957245,0.0009851183276623487,0.03558507189154625,0.10820212960243225,0.13955457508563995,0.9004739336492891,1.0,1.0,1.0,0.008574709508091352,0.008864023544179011,-2.6243787083684214,0.009526095571470636
MATR_b1c42,211,0.3,0.25,0.3288463545454545,0.9799835454545454,490,0.004931271076202393,0.03183392435312271,0.0013218006351962686,0.03180382028222084,0.152572900056839,0.12478668242692947,0.963265306122449,1.0,1.0,1.0,0.011400236645523382,0.019541501695650512,-2.7992046707519433,0.00967794730553988
