epoch,source,teacher_forced_mse,recursive_mse,source_weight,cut_point_count,cut_point_min,cut_point_max,cut_points
14,CALCE_CX2_38.pkl,0.0773402601480484,0.10550998151302338,0.16666666666666666,16,10,1527,"[10, 100, 112, 239, 334, 489, 581, 723, 815, 941, 1017, 1112, 1212, 1357, 1412, 1527]"
15,CALCE_CX2_16.pkl,0.15292184054851532,0.16582541167736053,0.16666666666666666,16,41,1199,"[41, 94, 100, 200, 285, 417, 441, 538, 677, 729, 787, 855, 958, 1079, 1160, 1199]"
15,CALCE_CX2_33.pkl,0.10148954391479492,0.12359140813350677,0.16666666666666666,16,59,1222,"[59, 100, 101, 186, 288, 366, 447, 584, 649, 718, 763, 916, 970, 1023, 1134, 1222]"
15,CALCE_CX2_34.pkl,0.08116551488637924,0.10610362142324448,0.16666666666666666,16,31,1313,"[31, 100, 168, 261, 292, 391, 513, 594, 644, 765, 895, 989, 1015, 1115, 1228, 1313]"
15,CALCE_CX2_35.pkl,0.11613968014717102,0.14664825797080994,0.16666666666666666,16,83,1374,"[83, 100, 156, 274, 370, 408, 534, 610, 693, 852, 891, 1039, 1154, 1210, 1284, 1374]"
15,CALCE_CX2_36.pkl,0.07321912050247192,0.08643583953380585,0.16666666666666666,16,40,1494,"[40, 100, 167, 300, 332, 454, 552, 700, 769, 913, 1035, 1102, 1234, 1357, 1449, 1494]"
15,CALCE_CX2_38.pkl,0.062189649790525436,0.08594824373722076,0.16666666666666666,16,26,1501,"[26, 100, 157, 249, 420, 454, 550, 634, 809, 946, 1017, 1080, 1249, 1346, 1403, 1501]"
16,CALCE_CX2_16.pkl,0.12116473913192749,0.12901297211647034,0.16666666666666666,16,7,1276,"[7, 100, 167, 256, 283, 423, 472, 585, 609, 760, 843, 853, 995, 1071, 1179, 1276]"
16,CALCE_CX2_33.pkl,0.07710166275501251,0.09404123574495316,0.16666666666666666,16,41,1245,"[41, 100, 168, 213, 298, 391, 458, 592, 640, 751, 778, 892, 953, 1046, 1107, 1245]"
16,CALCE_CX2_34.pkl,0.06081267073750496,0.07919194549322128,0.16666666666666666,16,86,1313,"[86, 100, 125, 241, 277, 388, 499, 560, 684, 775, 843, 980, 1021, 1091, 1230, 1313]"
16,CALCE_CX2_35.pkl,0.08945706486701965,0.11353481560945511,0.16666666666666666,16,68,1428,"[68, 100, 125, 257, 307, 419, 537, 669, 760, 847, 964, 1012, 1097, 1244, 1335, 1428]"
16,CALCE_CX2_36.pkl,0.05419999361038208,0.06315922737121582,0.16666666666666666,16,37,1541,"[37, 100, 140, 210, 335, 516, 611, 667, 776, 909, 1032, 1149, 1206, 1277, 1415, 1541]"
16,CALCE_CX2_38.pkl,0.04928658530116081,0.0686013400554657,0.16666666666666666,16,1,1569,"[1, 100, 132, 253, 331, 471, 621, 730, 738, 847, 1019, 1125, 1214, 1274, 1407, 1569]"
17,CALCE_CX2_16.pkl,0.09006243944168091,0.09328638017177582,0.16666666666666666,16,78,1206,"[78, 100, 103, 186, 310, 418, 479, 516, 675, 716, 799, 872, 994, 1044, 1160, 1206]"
17,CALCE_CX2_33.pkl,0.056737929582595825,0.06651513278484344,0.16666666666666666,16,32,1259,"[32, 100, 114, 175, 293, 355, 472, 584, 641, 738, 764, 895, 935, 1037, 1141, 1259]"
17,CALCE_CX2_34.pkl,0.041531533002853394,0.054646264761686325,0.16666666666666666,16,58,1327,"[58, 95, 100, 223, 349, 377, 521, 596, 646, 816, 876, 968, 1018, 1180, 1204, 1327]"
17,CALCE_CX2_35.pkl,0.0662207305431366,0.08198954164981842,0.16666666666666666,16,27,1425,"[27, 100, 114, 267, 301, 458, 545, 631, 690, 780, 879, 1024, 1156, 1252, 1342, 1425]"
17,CALCE_CX2_36.pkl,0.03684574365615845,0.042676083743572235,0.16666666666666666,16,83,1565,"[83, 100, 109, 259, 414, 523, 604, 665, 752, 903, 967, 1080, 1243, 1292, 1363, 1565]"
17,CALCE_CX2_38.pkl,0.03835885599255562,0.05480692908167839,0.16666666666666666,16,99,1544,"[99, 100, 178, 313, 349, 451, 612, 709, 825, 903, 1008, 1138, 1234, 1337, 1443, 1544]"
18,CALCE_CX2_16.pkl,0.06099807471036911,0.060270026326179504,0.16666666666666666,16,28,1211,"[28, 100, 168, 225, 335, 377, 436, 559, 676, 712, 819, 915, 952, 1045, 1184, 1211]"
18,CALCE_CX2_33.pkl,0.037122420966625214,0.042796265333890915,0.16666666666666666,16,9,1260,"[9, 100, 140, 216, 300, 401, 442, 551, 611, 739, 825, 903, 982, 1073, 1159, 1260]"
18,CALCE_CX2_34.pkl,0.026454996317625046,0.034308791160583496,0.16666666666666666,16,10,1358,"[10, 100, 179, 261, 325, 376, 542, 554, 669, 740, 876, 961, 1007, 1171, 1237, 1358]"
18,CALCE_CX2_35.pkl,0.046322260051965714,0.053721584379673004,0.16666666666666666,16,21,1416,"[21, 100, 193, 225, 381, 431, 498, 651, 696, 777, 899, 974, 1074, 1205, 1328, 1416]"
18,CALCE_CX2_36.pkl,0.02234512008726597,0.026880022138357162,0.16666666666666666,16,98,1522,"[98, 100, 177, 237, 356, 495, 588, 637, 744, 928, 950, 1148, 1171, 1350, 1415, 1522]"
18,CALCE_CX2_38.pkl,0.03280160576105118,0.046586282551288605,0.16666666666666666,16,7,1515,"[7, 100, 197, 300, 387, 424, 573, 730, 837, 917, 964, 1079, 1183, 1296, 1460, 1515]"
19,CALCE_CX2_16.pkl,0.03819383308291435,0.03262864053249359,0.16666666666666666,16,26,1277,"[26, 100, 123, 188, 322, 413, 447, 596, 682, 726, 786, 900, 939, 1092, 1183, 1277]"
19,CALCE_CX2_33.pkl,0.023306526243686676,0.025613950565457344,0.16666666666666666,16,49,1216,"[49, 100, 146, 246, 264, 356, 454, 583, 655, 747, 826, 854, 962, 1027, 1105, 1216]"
19,CALCE_CX2_34.pkl,0.01550730038434267,0.020935876294970512,0.16666666666666666,16,73,1299,"[73, 100, 154, 268, 316, 390, 460, 632, 706, 745, 908, 930, 1069, 1097, 1211, 1299]"
19,CALCE_CX2_35.pkl,0.028809575363993645,0.031435154378414154,0.16666666666666666,16,72,1425,"[72, 100, 133, 282, 335, 411, 569, 627, 751, 782, 964, 1024, 1134, 1230, 1295, 1425]"
19,CALCE_CX2_36.pkl,0.013295784592628479,0.018519360572099686,0.16666666666666666,16,50,1557,"[50, 100, 115, 306, 315, 489, 561, 720, 800, 853, 1017, 1095, 1231, 1274, 1440, 1557]"
